company,day,stock_price,revenue_p
microchip technology inc,1,101.56,32
microchip technology inc,1,97.48,32
microchip technology inc,1,97.55,32
microchip technology inc,1,101.71,32
micron technology,0,55.41,51
micron technology,0,56.47,51
micron technology,0,55.3,51
micron technology,1,55.03,51
micron technology,1,53.09,51
micron technology,1,53.78,51
micron technology,1,55.5,51
microsoft,0,162.28,2
microsoft,0,165.46,2
microsoft,0,168.04,2
microsoft,1,172.78,2
microsoft,1,170.23,2
microsoft,1,174.38,2
microsoft,1,180.12,2
netflix,0,342.88,0
netflix,0,348.52,0
netflix,0,343.16,0
netflix,1,347.74,0
netflix,1,345.09,0
netflix,1,358,0
netflix,1,369.01,0
nike,0,100.24,14
nike,0,100.41,14
nike,0,99.84,14
nike,1,98.19,14
nike,1,96.3,14
nike,1,99.27,14
nike,1,101.38,14
nvidia,0,240.2,25
nvidia,0,247.97,25
nvidia,0,245.54,25
nvidia,1,245.81,25
nvidia,1,236.43,25
nvidia,1,240.33,25
nvidia,1,247.13,25
oracle,0,52.69,12
oracle,0,53.46,12
oracle,0,53.2,12
oracle,1,53.31,12
oracle,1,52.45,12
oracle,1,53.09,12
oracle,1,54.04,12
p&g,0,125.69,9
p&g,0,126.03,9
p&g,0,125.06,9
p&g,1,125.59,9
p&g,1,124.62,9
p&g,1,125.11,9
p&g,1,125.66,9
pepsico,0,142.14,3
pepsico,0,142.44,3
pepsico,0,141.73,3
pepsico,1,143.83,3
pepsico,1,142.02,3
pepsico,1,142.51,3
pepsico,1,143.22,3
petro china,0,0.487,65
petro china,0,0.487,65
petro china,0,0.473,65
petro china,1,0.4393,65
petro china,1,0.453,65
petro china,1,0.438,65
petro china,1,0.452,65
petro china company,0,46.12,100
petro china company,0,46.02,100
petro china company,0,45.86,100
petro china company,1,45.36,100
petro china company,1,44.01,100
petro china company,1,43.08,100
petro china company,1,43.93,100
pfizer,0,40.16,20
pfizer,0,38.14,20
pfizer,0,37.58,20
pfizer,1,37.07,20
pfizer,1,37.24,20
pfizer,1,37.51,20
pfizer,1,37.69,20
philips,0,48.7,14
philips,0,47.83,14
philips,0,47.29,14
philips,1,47.04,14
philips,1,45.78,14
philips,1,46.24,14
philips,1,47.56,14
pinduoduo,0,36.59,100
pinduoduo,0,36.96,100
pinduoduo,0,36.74,100
pinduoduo,1,35.93,100
pinduoduo,1,35.22,100
pinduoduo,1,35.79,100
pinduoduo,1,36.51,100
qorvo,0,109.98,62
qorvo,0,113.56,62
qorvo,0,112.57,62
qorvo,1,111.79,62
qorvo,1,105.86,62
qorvo,1,107.56,62
qorvo,1,107.89,62
qualcomm,0,87.05,48
qualcomm,0,89.15,48
qualcomm,0,88.23,48
qualcomm,1,87.78,48
qualcomm,1,85.31,48
qualcomm,1,86.48,48
qualcomm,1,88.93,48
skyworks solutions,0,116.88,83
skyworks solutions,0,119.79,83
skyworks solutions,0,117.89,83
skyworks solutions,1,116.23,83
skyworks solutions,1,113.15,83
skyworks solutions,1,115.03,83
skyworks solutions,1,117.96,83
southwest airlines,0,56.25,0
southwest airlines,0,57.6,0
southwest airlines,0,56.89,0
southwest airlines,1,55.83,0
southwest airlines,1,54.98,0
southwest airlines,1,55.22,0
southwest airlines,1,55.68,0
sptjf,0,0.26,1
sptjf,0,0.26,1
sptjf,0,0.26,1
sptjf,1,0.26,1
sptjf,1,0.26,1
sptjf,1,0.26,1
sptjf,1,0.26,1
starbucks,0,88.73,10
starbucks,0,88.6,10
starbucks,0,86.72,10
starbucks,1,85.84,10
starbucks,1,84.83,10
starbucks,1,86.01,10
starbucks,1,88.38,10
te connectivity,0,96.84,18
te connectivity,0,98.1,18
te connectivity,0,98.07,18
te connectivity,1,95.82,18
te connectivity,1,92.18,18
te connectivity,1,94,18
te connectivity,1,95.33,18
texas instruments,0,126.31,44
texas instruments,0,128.04,44
texas instruments,0,125.49,44
texas instruments,1,124.42,44
texas instruments,1,120.65,44
texas instruments,1,123.4,44
texas instruments,1,126.47,44
vail resorts,0,238.49,0
vail resorts,0,236.64,0
vail resorts,0,236.75,0
vail resorts,1,237.09,0
vail resorts,1,234.51,0
vail resorts,1,235.31,0
vail resorts,1,238.34,0
vipshop,0,13.17,100
vipshop,0,13.23,100
vipshop,0,13.26,100
vipshop,1,12.91,100
vipshop,1,12.73,100
vipshop,1,12.9,100
vipshop,1,13.34,100
walgreens boots alliance,0,52.23,0
walgreens boots alliance,0,52.78,0
walgreens boots alliance,0,52.28,0
walgreens boots alliance,1,51.95,0
walgreens boots alliance,1,50.85,0
walgreens boots alliance,1,50.95,0
walgreens boots alliance,1,52.34,0
walmart,0,115.86,1
walmart,0,116.6,1
walmart,0,115.89,1
walmart,1,116.58,1
walmart,1,114.49,1
walmart,1,114.27,1
walmart,1,115.27,1
western digital,0,66.66,22
western digital,0,68.41,22
western digital,0,66.76,22
western digital,1,66.96,22
western digital,1,65.5,22
western digital,1,67.24,22
western digital,1,68.43,22
whirlpool,0,148.23,27
whirlpool,0,156.67,27
whirlpool,0,154.1,27
whirlpool,1,152.79,27
whirlpool,1,146.17,27
whirlpool,1,147.15,27
whirlpool,1,150.16,27
wynn resorts,0,123.89,73
wynn resorts,0,124.97,73
wynn resorts,0,123.85,73
wynn resorts,1,126.62,73
wynn resorts,1,126.16,73
wynn resorts,1,128.58,73
wynn resorts,1,132.7,73
xiaomi corp,0,1.6,72
xiaomi corp,0,1.64,72
xiaomi corp,0,1.61,72
xiaomi corp,1,1.53,72
xiaomi corp,1,1.48,72
xiaomi corp,1,1.57,72
xiaomi corp,1,1.64,72
xilinx inc,0,97,25
xilinx inc,0,98.61,25
xilinx inc,0,88.06,25
xilinx inc,1,87.2,25
xilinx inc,1,84.48,25
xilinx inc,1,85.05,25
xilinx inc,1,85.78,25
yum china,0,41.92,100
yum china,0,45.05,100
yum china,0,45.01,100
yum china,1,44,100
yum china,1,43.07,100
yum china,1,43.12,100
yum china,1,44.31,100
zto express,0,22.21,100
zto express,0,22.27,100
zto express,0,22.42,100
zto express,1,22,100
zto express,1,21.72,100
zto express,1,22.18,100
zto express,1,23.23,100
